Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/12/22, 19:02:22, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:27, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:32, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:37, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:42, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:47, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:52, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:02:57, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:02, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:07, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:12, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:17, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:22, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:27, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:32, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:37, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:42, -51.716911, -61.320133, -3.78,  0.00, 284, 0, 0.00, 
2017/12/22, 19:03:47, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 41.75, 
2017/12/22, 19:03:52, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:03:57, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:02, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:07, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:12, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:17, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:22, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:27, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:32, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:37, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:42, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:47, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:52, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:04:57, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:02, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:07, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:12, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:17, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:22, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:27, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:32, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:37, -51.716557, -61.319931, 0.94,  0.00, 30, 0, 0.00, 
2017/12/22, 19:05:42, -51.716217, -61.319733, 0.01,  1908.00, 30, 0, 40.19, 
2017/12/22, 19:05:47, -51.716209, -61.319725, -0.25,  0.00, 62, 0, 1.05, 
2017/12/22, 19:05:52, -51.716209, -61.319725, -0.25,  0.00, 62, 0, 0.00, 
2017/12/22, 19:05:57, -51.716156, -61.319702, -0.60,  1944.00, 53, 0, 6.10, 
2017/12/22, 19:06:02, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.28, 
2017/12/22, 19:06:07, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:10, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:15, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:20, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:25, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:30, -51.716156, -61.319698, -1.24,  0.00, 53, 0, 0.00, 
2017/12/22, 19:06:35, -51.716019, -61.319675, 0.87,  3600.00, 358, 0, 15.32, 
2017/12/22, 19:06:40, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.52, 
2017/12/22, 19:06:45, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:06:50, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:06:55, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:00, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:05, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:10, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:15, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:20, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:25, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:30, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:35, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:40, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:45, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:50, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:07:55, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:00, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:05, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:10, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:15, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:20, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
2017/12/22, 19:08:25, -51.716015, -61.319679, 0.73,  0.00, 358, 0, 0.00, 
